,A,B
1182,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, SALTY SNACKS, WINE, YOGURT",RFG FRESH EGGS
1183,RFG FRESH EGGS,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, SALTY SNACKS, WINE, YOGURT"
1184,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",NATURAL CHEESE
1185,NATURAL CHEESE,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
1186,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",MILK
1187,MILK,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
1188,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",ICE CREAM/SHERBET
1189,ICE CREAM/SHERBET,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
1190,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",FZ DINNERS/ENTREES
1191,FZ DINNERS/ENTREES,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
1192,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, COLD CEREAL, CRACKERS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",FRESH BREAD & ROLLS
1193,FRESH BREAD & ROLLS,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, COLD CEREAL, CRACKERS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
1194,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, COLD CEREAL, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",CRACKERS
1195,CRACKERS,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, COLD CEREAL, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
1196,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",COLD CEREAL
1197,COLD CEREAL,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
1198,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",COFFEE
1199,COFFEE,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
1200,"BEER/ALE/ALCOHOLIC CIDER, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",BOTTLED WATER
1201,BOTTLED WATER,"BEER/ALE/ALCOHOLIC CIDER, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
1202,"BOTTLED WATER, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",BEER/ALE/ALCOHOLIC CIDER
1203,BEER/ALE/ALCOHOLIC CIDER,"BOTTLED WATER, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
